ticker,company_name,headline,date,price_before,price_after,direction,percent_change
NVDA,NVIDIA Corp.,Jensen Huang steps down as NVIDIA CEO effective immediately,2023-04-20,505.77,476.94,down,-5.7
NVDA,NVIDIA Corp.,FTC launches probe into NVIDIA tech practices,2024-01-18,461.42,449.75,down,-2.53
JPM,JPMorgan Chase & Co.,Investors rotate out of finance sector; JPMorgan exposed,2024-02-19,204.3,201.64,down,-1.3
MCD,McDonald's Corp.,McDonald's updates full-year revenue forecast,2023-11-17,309.12,300.9,down,-2.66
V,Visa Inc.,finance sentiment improves with Visa in focus,2024-05-07,280.66,283.86,up,1.14
NKE,Nike Inc.,Fund managers shift away from retail names like Nike,2023-05-29,86.74,85.44,down,-1.5
V,Visa Inc.,Visa beats expectations on payment network strength,2024-01-19,264.34,270.37,up,2.28
WMT,Walmart Inc.,Walmart enters strategic alliance with retail leader,2023-11-02,155.96,160.5,up,2.91
CAT,Caterpillar Inc.,industrial sector sees outflows as investors seek value,2023-02-23,338.93,336.08,down,-0.84
INTC,Intel Corp.,Risk-on mood lifts tech names including Intel,2023-05-08,35.93,36.11,up,0.5
UPS,United Parcel Service,UPS signs multi-year deal to expand package delivery reach,2024-02-27,144.57,148.94,up,3.02
BA,Boeing Co.,Boeing in focus as analysts send conflicting signals,2023-01-11,238.47,238.45,down,-0.01
NFLX,Netflix Inc.,Top analyst highlights Netflix as entertainment best idea,2024-03-13,692.85,701.23,up,1.21
MA,Mastercard Inc.,Mastercard delivers blowout quarter on payment network demand,2023-06-12,392.29,421.32,up,7.4
ADBE,Adobe Inc.,Adobe recalls Photoshop units over safety concerns,2023-03-08,576.36,539.47,down,-6.4
MRK,Merck & Co.,Merck warns of Keytruda supply delays,2024-01-15,140.92,137.99,down,-2.08
ADBE,Adobe Inc.,DOJ opens antitrust case targeting Adobe,2023-05-17,626.62,597.11,down,-4.71
KO,Coca-Cola Co.,Coca-Cola drifts on thin trading volume ahead of data,2024-05-13,64.92,65.14,up,0.34
MRK,Merck & Co.,SEC opens fraud investigation into Merck,2024-02-09,132.55,125.92,down,-5.0
BA,Boeing Co.,Boeing 737 MAX draws attention from industry reviewers,2024-01-23,231.37,237.36,up,2.59
